     1110.30100        0.60008308        0.01237602
     1114.74220        0.63531758        0.01258247
     1119.20117        0.64690876        0.01279545
     1123.67798        0.65580660        0.01273896
     1128.17269        0.69097409        0.01327507
     1132.68538        0.73176905        0.01356160
     1137.21612        0.74683590        0.01373965
     1141.76499        0.72822602        0.01317895
     1146.33205        0.73476958        0.01348488
     1150.91737        0.76776032        0.01370560
     1155.52104        0.70950510        0.01304910
     1160.14313        0.66989534        0.01266474
     1164.78370        0.67857907        0.01265046
     1169.44284        0.63479064        0.01234717
     1174.12061        0.62227777        0.01212991
     1178.81709        0.60223250        0.01185196
     1183.53236        0.58862522        0.01152356
     1188.26649        0.58248969        0.01169549
     1193.01955        0.59207069        0.01185565
     1197.79163        0.56921292        0.01146481
     1202.58280        0.58063924        0.01167733
     1207.39313        0.57426507        0.01160102
     1212.22270        0.57187403        0.01140803
     1217.07159        0.59230547        0.01161919
     1221.93988        0.61607282        0.01170284
     1226.82764        0.67979504        0.01234004
     1231.73495        0.71864620        0.01263068
     1236.66189        0.73364874        0.01270437
     1241.60854        0.76670953        0.01290943
     1246.57497        0.78614797        0.01307569
     1251.56127        0.78381968        0.01318565
     1256.56752        0.79083232        0.01317663
     1261.59379        0.75237685        0.01297934
     1266.64016        0.72911363        0.01252127
     1271.70672        0.70225588        0.01232376
     1276.79355        0.68189295        0.01220074
     1281.90072        0.64523033        0.01189059
     1287.02833        0.60710845        0.01141153
     1292.17644        0.60244492        0.01137687
     1297.34514        0.59828979        0.01134016
     1302.53453        0.61229424        0.01136825
     1307.74466        0.62273043        0.01149003
     1312.97564        0.63516894        0.01150925
     1318.22754        0.64643216        0.01166794
     1323.50045        0.65735508        0.01165574
     1328.79446        0.64057006        0.01148738
     1334.10963        0.65047921        0.01177238
     1339.44607        0.61333387        0.01137612
     1344.80386        0.59592133        0.01110678
     1350.18307        0.58465104        0.01084150
     1355.58380        0.57903190        0.01090895
     1361.00614        0.55151301        0.01053136
     1366.45016        0.54285876        0.01050918
     1371.91597        0.54023359        0.01046889
     1377.40363        0.54593715        0.01057966
     1382.91324        0.53131348        0.01042975
     1388.44490        0.53154279        0.01030335
     1393.99868        0.54182854        0.01049219
     1399.57467        0.53476668        0.01041419
     1405.17297        0.50219136        0.01006147
     1410.79366        0.52723758        0.01022171
     1416.43684        0.53718107        0.01028167
     1422.10258        0.53895085        0.01040954
     1427.79099        0.54654973        0.01045613
     1433.50216        0.52155511        0.01023594
     1439.23617        0.55275097        0.01046275
     1444.99311        0.58370680        0.01060810
     1450.77308        0.59434877        0.01078090
     1456.57618        0.63546396        0.01118942
     1462.40248        0.67473516        0.01145518
     1468.25209        0.69493960        0.01151596
     1474.12510        0.71748057        0.01171328
     1480.02160        0.74610860        0.01205439
     1485.94169        0.75302086        0.01188477
     1491.88545        0.75837474        0.01195516
     1497.85299        0.76040914        0.01210873
     1503.84441        0.74060236        0.01179538
     1509.85978        0.73010737        0.01187792
     1515.89922        0.67871012        0.01129286
     1521.96282        0.66458350        0.01135295
     1528.05067        0.64592889        0.01106519
     1534.16287        0.61622427        0.01077361
     1540.29953        0.62776460        0.01103298
     1546.46072        0.59813643        0.01064971
     1552.64657        0.56596178        0.01013954
     1558.85715        0.58040848        0.01044923
     1565.09258        0.57316902        0.01030687
     1571.35295        0.57189722        0.01036691
     1577.63836        0.57355954        0.01040853
     1583.94892        0.55571804        0.01016972
     1590.28471        0.55987952        0.01026313
     1596.64585        0.55074189        0.01010822
     1603.03243        0.55799390        0.01016065
     1609.44456        0.55488500        0.01019696
     1615.88234        0.54358240        0.01009997
     1622.34587        0.54454960        0.01003061
     1628.83526        0.52079274        0.00976444
     1635.35060        0.53528011        0.01009357
     1641.89200        0.51471720        0.00976976
     1648.45957        0.51081562        0.00969789
     1655.05341        0.50748852        0.00959160
     1661.67362        0.52385235        0.00999833
     1668.32031        0.52622232        0.00985323
     1674.99359        0.51308617        0.00980557
     1681.69357        0.52163254        0.00986278
     1688.42034        0.50374403        0.00960442
     1695.17402        0.52686340        0.00980540
     1701.95472        0.53164531        0.00985715
     1708.76254        0.54412841        0.01003039
     1715.59759        0.54222015        0.00998146
     1722.45998        0.53563436        0.00982976
     1729.34982        0.53720599        0.00987430
     1736.26722        0.54917432        0.00994467
     1743.21229        0.55757653        0.01015445
     1750.18514        0.57397262        0.01012719
     1757.18588        0.58119069        0.01024462
     1764.21462        0.61309730        0.01050265
     1771.27148        0.63623129        0.01058891
     1778.35657        0.68110123        0.01098483
     1785.46999        0.71544824        0.01123702
     1792.61187        0.71619970        0.01114331
     1799.78232        0.72941524        0.01126291
     1806.98145        0.72853663        0.01132309
     1814.20937        0.70628606        0.01118359
     1821.46621        0.67956795        0.01101825
     1828.75208        0.65168640        0.01078225
     1836.06709        0.62477057        0.01052676
     1843.41135        0.60178749        0.01029774
     1850.78500        0.61243912        0.01047970
     1858.18814        0.58231275        0.01012215
     1865.62089        0.57799559        0.01014514
     1873.08337        0.55742573        0.00989091
     1880.57571        0.55077789        0.00987125
     1888.09801        0.56920339        0.01011322
     1895.65040        0.53221637        0.00963109
     1903.23300        0.54245872        0.00983849
     1910.84594        0.54164648        0.00987004
     1918.48932        0.54267647        0.00993461
     1926.16328        0.55021613        0.01004279
     1933.86793        0.52835862        0.00969881
     1941.60340        0.53636789        0.00984083
     1949.36982        0.53059475        0.00968899
     1957.16730        0.54879522        0.00984206
     1964.99596        0.54286808        0.00979752
     1972.85595        0.54461495        0.00983911
     1980.74737        0.56874636        0.01018521
     1988.67036        0.60529451        0.01038574
     1996.62504        0.62356258        0.01051895
     2004.61154        0.64771280        0.01064252
     2012.62999        0.66465617        0.01069531
     2020.68051        0.69492710        0.01107280
     2028.76323        0.69429764        0.01089666
     2036.87828        0.69036658        0.01103506
     2045.02580        0.68749300        0.01096991
     2053.20590        0.66550505        0.01086902
     2061.41872        0.64988853        0.01066255
     2069.66440        0.64440979        0.01064174
     2077.94306        0.62794343        0.01051936
     2086.25483        0.66614891        0.01085299
     2094.59985        0.66689439        0.01088030
     2102.97825        0.69209482        0.01107258
     2111.39016        0.69520444        0.01105093
     2119.83572        0.70713337        0.01109416
     2128.31506        0.71290742        0.01115493
     2136.82832        0.68184144        0.01098773
     2145.37564        0.67278642        0.01106454
     2153.95714        0.66128180        0.01091382
     2162.57297        0.64361155        0.01066593
     2171.22326        0.65321176        0.01084635
     2179.90815        0.66339226        0.01091323
     2188.62779        0.72510151        0.01147764
     2197.38230        0.75314891        0.01160019
