@file	seqno	phase	temp	temp_err	spec_disp	spec_disp_err	abs	abs_err	csL	csL_err	csG	csG_err	strL	strL_err	strG	strG_err	Ti_beq	Ti_beq_err	O_beq	O_beq_err	a_del	a_del_err	c_del	c_del_err	a	a_err	b	b_err	c	c_err	al	al_err	be	be_err	ga	ga_err	cellVol	cellVol_err	cellMass	cellMass_err	Lvol	Lvol_err	e0	e0_err	density	density_err	LAC	LAC_err	scale	scale_err	wtpct	wtpct_err	RBragg	RBragg_err	Rwp	Rwp_err	Rexp	Rexp_err	gof	gof_err
degussa.raw	6	Anatase	523.000000000	0.000000000	0.125532141	0.011146306	15.685659176	4.230139327	38.768668099	2.121142659	56.537244883	5.031460376	0.212179772	0.037437011	-1.000000000	0.000000000	0.809851831	0.063304163	1.478879563	0.139859039	0.005559291	0.000728808	0.014137548	0.001940472	3.789759291	0.000728808	3.789759291	0.000728808	9.528737548	0.001940472	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	136.854353708	0.059559734	319.463200000	0.000000000	19.993190247	0.933832024	0.000462655	0.000081631	3.876248520	0.001686956	481.584825920	0.209587334	0.000411490	0.000003796	87.388164922	0.360915527	2.326503070	0.000000000	17.915365336	0.000000000	16.306940893	0.000000000	1.098634346	0.000000000
degussa.raw	6	Rutile	523.000000000	0.000000000	0.125532141	0.011146306	15.685659176	4.230139327	39.576467664	2.684965260	-1.000000000	0.000000000	-1.000000000	0.000000000	-1.000000000	0.000000000	0.809851831	0.063304163	1.478879563	0.139859039	0.010938726	0.001047053	0.008060445	0.001044546	4.603338726	0.001047053	4.603338726	0.001047053	2.965560445	0.001044546	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	62.842383049	0.036155202	159.731600000	0.000000000	25.195161835	1.709301972	-1.000000000	0.000000000	4.220730185	0.002428309	524.383202143	0.301692973	0.000258655	0.000008130	12.611835078	0.360915527	3.281618868	0.000000000	17.915365336	0.000000000	16.306940893	0.000000000	1.098634346	0.000000000
degussa.raw	7	Anatase	573.000000000	0.000000000	0.154876128	0.010349865	14.298562226	3.094720205	36.526277522	1.820042036	58.916511156	5.478598561	0.151930350	0.036128577	-1.000000000	0.000000000	0.959813028	0.063363158	1.682388358	0.139163575	0.006359199	0.000643736	0.020034302	0.001707192	3.790559199	0.000643736	3.790559199	0.000643736	9.534634302	0.001707192	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	136.996858312	0.052600984	319.463200000	0.000000000	19.389374865	0.857168665	0.000331282	0.000078778	3.872216433	0.001486760	481.083879722	0.184715005	0.000410189	0.000003740	87.135255276	0.354096659	2.308374530	0.000000000	17.650845027	0.000000000	16.346700739	0.000000000	1.079780275	0.000000000
degussa.raw	7	Rutile	573.000000000	0.000000000	0.154876128	0.010349865	14.298562226	3.094720205	40.764734967	2.725552210	-1.000000000	0.000000000	-1.000000000	0.000000000	-1.000000000	0.000000000	0.959813028	0.063363158	1.682388358	0.139163575	0.011932389	0.000959074	0.008892527	0.000985626	4.604332389	0.000959074	4.604332389	0.000959074	2.966392527	0.000985626	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	62.887155964	0.033510793	159.731600000	0.000000000	25.951636295	1.735140428	-1.000000000	0.000000000	4.217725209	0.002247498	524.009864145	0.279228977	0.000263858	0.000007983	12.864744724	0.354096659	3.762355537	0.000000000	17.650845027	0.000000000	16.346700739	0.000000000	1.079780275	0.000000000
degussa.raw	8	Anatase	623.000000000	0.000000000	0.168751544	0.012769822	22.157306804	10.559162876	34.947246197	1.740677821	62.854830945	7.304698272	0.185422763	0.036374931	-1.000000000	0.000000000	0.989565191	0.065800464	1.411801999	0.141817417	0.008974590	0.000923996	0.029056633	0.002430628	3.793174590	0.000923996	3.793174590	0.000923996	9.543656633	0.002430628	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	137.315787193	0.075488479	319.463200000	0.000000000	19.071916241	0.895792723	0.000404312	0.000079315	3.863222845	0.002123773	479.966516989	0.263857383	0.000411031	0.000003852	87.495602110	0.371609286	2.621923698	0.000000000	18.022412695	0.000000000	16.345729217	0.000000000	1.102576242	0.000000000
degussa.raw	8	Rutile	623.000000000	0.000000000	0.168751544	0.012769822	22.157306804	10.559162876	38.375046119	2.672213616	-1.000000000	0.000000000	-1.000000000	0.000000000	-1.000000000	0.000000000	0.989565191	0.065800464	1.411801999	0.141817417	0.015944287	0.001269398	0.013232352	0.001164801	4.608344287	0.001269398	4.608344287	0.001269398	2.970732352	0.001164801	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	63.088958924	0.042660548	159.731600000	0.000000000	24.430313125	1.701184024	-1.000000000	0.000000000	4.204233951	0.002842878	522.333711246	0.353198933	0.000255710	0.000008350	12.504397890	0.371609286	3.405954070	0.000000000	18.022412695	0.000000000	16.345729217	0.000000000	1.102576242	0.000000000
degussa.raw	9	Anatase	673.000000000	0.000000000	0.181327267	0.011874827	21.840204306	9.259884050	38.502725089	2.146059751	51.445046484	3.956344894	0.206187504	0.037570217	-1.000000000	0.000000000	1.029698932	0.067068431	1.711502506	0.145033255	0.009610490	0.000859776	0.032841498	0.002245673	3.793810490	0.000859776	3.793810490	0.000859776	9.547441498	0.002245673	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	137.416306694	0.070171519	319.463200000	0.000000000	19.311220375	0.871793511	0.000449589	0.000081921	3.860396912	0.001971300	479.615423322	0.244914133	0.000405112	0.000003824	87.412253721	0.363288786	2.577692862	0.000000000	17.922156720	0.000000000	16.374427286	0.000000000	1.094521134	0.000000000
degussa.raw	9	Rutile	673.000000000	0.000000000	0.181327267	0.011874827	21.840204306	9.259884050	41.270400420	2.821903992	-1.000000000	0.000000000	-1.000000000	0.000000000	-1.000000000	0.000000000	1.029698932	0.067068431	1.711502506	0.145033255	0.018051083	0.001159123	0.012525636	0.001072533	4.610451083	0.001159123	4.610451083	0.001159123	2.970025636	0.001072533	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	63.131634726	0.039082501	159.731600000	0.000000000	26.273552921	1.796479877	-1.000000000	0.000000000	4.201391967	0.002600919	521.980623442	0.323137939	0.000253964	0.000008037	12.587746279	0.363288786	3.621053212	0.000000000	17.922156720	0.000000000	16.374427286	0.000000000	1.094521134	0.000000000
degussa.raw	10	Anatase	723.000000000	0.000000000	0.200760145	0.013181293	24.151630975	13.172826247	36.512286783	1.902491428	52.891273469	4.477366475	0.165614422	0.036387909	-1.000000000	0.000000000	1.074519921	0.067387100	2.053320075	0.149088745	0.010892499	0.000977067	0.040150406	0.002565863	3.795092499	0.000977067	3.795092499	0.000977067	9.554750406	0.002565863	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	137.614462340	0.079917065	319.463200000	0.000000000	18.791215808	0.835803967	0.000361120	0.000079343	3.854838198	0.002238617	478.924809108	0.278125550	0.000402544	0.000003821	86.858436270	0.380611573	2.657337903	0.000000000	17.924853610	0.000000000	16.390039695	0.000000000	1.093643087	0.000000000
degussa.raw	10	Rutile	723.000000000	0.000000000	0.200760145	0.013181293	24.151630975	13.172826247	36.499346151	2.408497412	-1.000000000	0.000000000	-1.000000000	0.000000000	-1.000000000	0.000000000	1.074519921	0.067387100	2.053320075	0.149088745	0.020403443	0.001331574	0.012713844	0.001202806	4.612803443	0.001331574	4.612803443	0.001331574	2.970213844	0.001202806	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	63.200078310	0.044568811	159.731600000	0.000000000	23.236205438	1.533297074	-1.000000000	0.000000000	4.196841999	0.002959609	521.415335782	0.367701572	0.000265232	0.000008480	13.141563730	0.380611573	3.461440573	0.000000000	17.924853610	0.000000000	16.390039695	0.000000000	1.093643087	0.000000000
